address_id,full_address,house_number,street,ward,district,city,latitude,longitude,aliases,notes
ADDR001,"283 Nguyễn Huệ, Quận 7, TP Hồ Chí Minh",283,Nguyễn Huệ,,Quận 7,TP Hồ Chí Minh,10.728139,106.731242,"283 nguyễn huệ, q 7, tp hồ chí minh | 283 nguyễn huệ q 7 tp hồ chí minh | nguyễn huệ quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR002,"225 Trần Hưng Đạo, Tân Bình, TP Hồ Chí Minh",225,Trần Hưng Đạo,,Tân Bình,TP Hồ Chí Minh,10.791021,106.657727,"225 trần hưng đạo, tân bình, tp hồ chí minh | 225 trần hưng đạo tân bình tp hồ chí minh | trần hưng đạo tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR003,"226 Bạch Đằng, Hải Châu, Đà Nẵng",226,Bạch Đằng,,Hải Châu,Đà Nẵng,16.050939,108.240692,"226 bạch đằng, hải châu, đà nẵng | 226 bạch đằng hải châu đà nẵng | bạch đằng hải châu","Có thể nhập ĐN, Da Nang"
ADDR004,"268 Hai Bà Trưng, Ba Đình, Hà Nội",268,Hai Bà Trưng,,Ba Đình,Hà Nội,21.028214,105.828521,"268 hai bà trưng, ba đình, hà nội | 268 hai bà trưng ba đình hà nội | hai bà trưng ba đình","Có thể nhập HN, Ha Noi"
ADDR005,"195 Hai Bà Trưng, Quận 3, TP Hồ Chí Minh",195,Hai Bà Trưng,,Quận 3,TP Hồ Chí Minh,10.796862,106.686273,"195 hai bà trưng, q 3, tp hồ chí minh | 195 hai bà trưng q 3 tp hồ chí minh | hai bà trưng quận 3","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR006,"210 Nguyễn Huệ, Bình Thạnh, TP Hồ Chí Minh",210,Nguyễn Huệ,,Bình Thạnh,TP Hồ Chí Minh,10.801443,106.6895,"210 nguyễn huệ, bình thạnh, tp hồ chí minh | 210 nguyễn huệ bình thạnh tp hồ chí minh | nguyễn huệ bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR007,"286 Hùng Vương, Quận 7, TP Hồ Chí Minh",286,Hùng Vương,,Quận 7,TP Hồ Chí Minh,10.741675,106.702642,"286 hùng vương, q 7, tp hồ chí minh | 286 hùng vương q 7 tp hồ chí minh | hùng vương quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR008,"228 Xuân Thủy, Hoàn Kiếm, Hà Nội",228,Xuân Thủy,,Hoàn Kiếm,Hà Nội,21.024513,105.847787,"228 xuân thủy, hoàn kiếm, hà nội | 228 xuân thủy hoàn kiếm hà nội | xuân thủy hoàn kiếm","Có thể nhập HN, Ha Noi"
ADDR009,"257 Võ Nguyên Giáp, Ba Đình, Hà Nội",257,Võ Nguyên Giáp,,Ba Đình,Hà Nội,21.02667,105.817734,"257 võ nguyên giáp, ba đình, hà nội | 257 võ nguyên giáp ba đình hà nội | võ nguyên giáp ba đình","Có thể nhập HN, Ha Noi"
ADDR010,"55 Láng Hạ, Tân Bình, TP Hồ Chí Minh",55,Láng Hạ,,Tân Bình,TP Hồ Chí Minh,10.8003,106.659555,"55 láng hạ, tân bình, tp hồ chí minh | 55 láng hạ tân bình tp hồ chí minh | láng hạ tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR011,"123 Pasteur, Hải Châu, Đà Nẵng",123,Pasteur,,Hải Châu,Đà Nẵng,16.066373,108.207176,"123 pasteur, hải châu, đà nẵng | 123 pasteur hải châu đà nẵng | pasteur hải châu","Có thể nhập ĐN, Da Nang"
ADDR012,"37 Nguyễn Huệ, Quận 7, TP Hồ Chí Minh",37,Nguyễn Huệ,,Quận 7,TP Hồ Chí Minh,10.715603,106.738358,"37 nguyễn huệ, q 7, tp hồ chí minh | 37 nguyễn huệ q 7 tp hồ chí minh | nguyễn huệ quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR013,"199 Điện Biên Phủ, Cầu Giấy, Hà Nội",199,Điện Biên Phủ,,Cầu Giấy,Hà Nội,21.051147,105.794568,"199 điện biên phủ, cầu giấy, hà nội | 199 điện biên phủ cầu giấy hà nội | điện biên phủ cầu giấy","Có thể nhập HN, Ha Noi"
ADDR014,"53 Trần Hưng Đạo, Tân Bình, TP Hồ Chí Minh",53,Trần Hưng Đạo,,Tân Bình,TP Hồ Chí Minh,10.79813,106.633841,"53 trần hưng đạo, tân bình, tp hồ chí minh | 53 trần hưng đạo tân bình tp hồ chí minh | trần hưng đạo tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR015,"161 Phạm Văn Đồng, Bình Thạnh, TP Hồ Chí Minh",161,Phạm Văn Đồng,,Bình Thạnh,TP Hồ Chí Minh,10.804254,106.712975,"161 phạm văn đồng, bình thạnh, tp hồ chí minh | 161 phạm văn đồng bình thạnh tp hồ chí minh | phạm văn đồng bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR016,"239 Hùng Vương, Hải Châu, Đà Nẵng",239,Hùng Vương,,Hải Châu,Đà Nẵng,16.08646,108.214033,"239 hùng vương, hải châu, đà nẵng | 239 hùng vương hải châu đà nẵng | hùng vương hải châu","Có thể nhập ĐN, Da Nang"
ADDR017,"232 Trần Hưng Đạo, Ngũ Hành Sơn, Đà Nẵng",232,Trần Hưng Đạo,,Ngũ Hành Sơn,Đà Nẵng,15.999404,108.25054,"232 trần hưng đạo, ngũ hành sơn, đà nẵng | 232 trần hưng đạo ngũ hành sơn đà nẵng | trần hưng đạo ngũ hành sơn","Có thể nhập ĐN, Da Nang"
ADDR018,"187 Phạm Văn Đồng, Đống Đa, Hà Nội",187,Phạm Văn Đồng,,Đống Đa,Hà Nội,21.004208,105.809977,"187 phạm văn đồng, đống đa, hà nội | 187 phạm văn đồng đống đa hà nội | phạm văn đồng đống đa","Có thể nhập HN, Ha Noi"
ADDR019,"114 Nguyễn Chí Thanh, Cầu Giấy, Hà Nội",114,Nguyễn Chí Thanh,,Cầu Giấy,Hà Nội,21.03208,105.774095,"114 nguyễn chí thanh, cầu giấy, hà nội | 114 nguyễn chí thanh cầu giấy hà nội | nguyễn chí thanh cầu giấy","Có thể nhập HN, Ha Noi"
ADDR020,"284 Trần Hưng Đạo, Quận 3, TP Hồ Chí Minh",284,Trần Hưng Đạo,,Quận 3,TP Hồ Chí Minh,10.784078,106.683055,"284 trần hưng đạo, q 3, tp hồ chí minh | 284 trần hưng đạo q 3 tp hồ chí minh | trần hưng đạo quận 3","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR021,"237 Hùng Vương, Sơn Trà, Đà Nẵng",237,Hùng Vương,,Sơn Trà,Đà Nẵng,16.122941,108.267087,"237 hùng vương, sơn trà, đà nẵng | 237 hùng vương sơn trà đà nẵng | hùng vương sơn trà","Có thể nhập ĐN, Da Nang"
ADDR022,"294 Kim Mã, Sơn Trà, Đà Nẵng",294,Kim Mã,,Sơn Trà,Đà Nẵng,16.090745,108.234665,"294 kim mã, sơn trà, đà nẵng | 294 kim mã sơn trà đà nẵng | kim mã sơn trà","Có thể nhập ĐN, Da Nang"
ADDR023,"270 Trường Sơn, Ba Đình, Hà Nội",270,Trường Sơn,,Ba Đình,Hà Nội,21.030668,105.850593,"270 trường sơn, ba đình, hà nội | 270 trường sơn ba đình hà nội | trường sơn ba đình","Có thể nhập HN, Ha Noi"
ADDR024,"160 Võ Nguyên Giáp, Quận 3, TP Hồ Chí Minh",160,Võ Nguyên Giáp,,Quận 3,TP Hồ Chí Minh,10.793319,106.665066,"160 võ nguyên giáp, q 3, tp hồ chí minh | 160 võ nguyên giáp q 3 tp hồ chí minh | võ nguyên giáp quận 3","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR025,"25 Kim Mã, Sơn Trà, Đà Nẵng",25,Kim Mã,,Sơn Trà,Đà Nẵng,16.122149,108.257743,"25 kim mã, sơn trà, đà nẵng | 25 kim mã sơn trà đà nẵng | kim mã sơn trà","Có thể nhập ĐN, Da Nang"
ADDR026,"267 Cách Mạng Tháng Tám, Quận 3, TP Hồ Chí Minh",267,Cách Mạng Tháng Tám,,Quận 3,TP Hồ Chí Minh,10.796629,106.692403,"267 cách mạng tháng tám, q 3, tp hồ chí minh | 267 cách mạng tháng tám q 3 tp hồ chí minh | cách mạng tháng tám quận 3","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR027,"56 Nguyễn Chí Thanh, Sơn Trà, Đà Nẵng",56,Nguyễn Chí Thanh,,Sơn Trà,Đà Nẵng,16.12561,108.235103,"56 nguyễn chí thanh, sơn trà, đà nẵng | 56 nguyễn chí thanh sơn trà đà nẵng | nguyễn chí thanh sơn trà","Có thể nhập ĐN, Da Nang"
ADDR028,"93 Hai Bà Trưng, Hải Châu, Đà Nẵng",93,Hai Bà Trưng,,Hải Châu,Đà Nẵng,16.075282,108.225455,"93 hai bà trưng, hải châu, đà nẵng | 93 hai bà trưng hải châu đà nẵng | hai bà trưng hải châu","Có thể nhập ĐN, Da Nang"
ADDR029,"233 Nguyễn Huệ, Tân Bình, TP Hồ Chí Minh",233,Nguyễn Huệ,,Tân Bình,TP Hồ Chí Minh,10.807782,106.655241,"233 nguyễn huệ, tân bình, tp hồ chí minh | 233 nguyễn huệ tân bình tp hồ chí minh | nguyễn huệ tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR030,"216 Lê Duẩn, Đống Đa, Hà Nội",216,Lê Duẩn,,Đống Đa,Hà Nội,21.03319,105.813187,"216 lê duẩn, đống đa, hà nội | 216 lê duẩn đống đa hà nội | lê duẩn đống đa","Có thể nhập HN, Ha Noi"
ADDR031,"129 Trần Hưng Đạo, Bình Thạnh, TP Hồ Chí Minh",129,Trần Hưng Đạo,,Bình Thạnh,TP Hồ Chí Minh,10.793995,106.71529,"129 trần hưng đạo, bình thạnh, tp hồ chí minh | 129 trần hưng đạo bình thạnh tp hồ chí minh | trần hưng đạo bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR032,"47 Phạm Văn Đồng, Quận 3, TP Hồ Chí Minh",47,Phạm Văn Đồng,,Quận 3,TP Hồ Chí Minh,10.790218,106.6944,"47 phạm văn đồng, q 3, tp hồ chí minh | 47 phạm văn đồng q 3 tp hồ chí minh | phạm văn đồng quận 3","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR033,"140 Pasteur, Tân Bình, TP Hồ Chí Minh",140,Pasteur,,Tân Bình,TP Hồ Chí Minh,10.802465,106.643414,"140 pasteur, tân bình, tp hồ chí minh | 140 pasteur tân bình tp hồ chí minh | pasteur tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR034,"259 Hùng Vương, Quận 7, TP Hồ Chí Minh",259,Hùng Vương,,Quận 7,TP Hồ Chí Minh,10.729804,106.734882,"259 hùng vương, q 7, tp hồ chí minh | 259 hùng vương q 7 tp hồ chí minh | hùng vương quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR035,"56 Nguyễn Huệ, Tân Bình, TP Hồ Chí Minh",56,Nguyễn Huệ,,Tân Bình,TP Hồ Chí Minh,10.791659,106.66751,"56 nguyễn huệ, tân bình, tp hồ chí minh | 56 nguyễn huệ tân bình tp hồ chí minh | nguyễn huệ tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR036,"38 Pasteur, Sơn Trà, Đà Nẵng",38,Pasteur,,Sơn Trà,Đà Nẵng,16.112189,108.235002,"38 pasteur, sơn trà, đà nẵng | 38 pasteur sơn trà đà nẵng | pasteur sơn trà","Có thể nhập ĐN, Da Nang"
ADDR037,"90 Nguyễn Trãi, Cầu Giấy, Hà Nội",90,Nguyễn Trãi,,Cầu Giấy,Hà Nội,21.046545,105.796329,"90 nguyễn trãi, cầu giấy, hà nội | 90 nguyễn trãi cầu giấy hà nội | nguyễn trãi cầu giấy","Có thể nhập HN, Ha Noi"
ADDR038,"180 Xuân Thủy, Bình Thạnh, TP Hồ Chí Minh",180,Xuân Thủy,,Bình Thạnh,TP Hồ Chí Minh,10.793712,106.696143,"180 xuân thủy, bình thạnh, tp hồ chí minh | 180 xuân thủy bình thạnh tp hồ chí minh | xuân thủy bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR039,"42 Nguyễn Huệ, Hải Châu, Đà Nẵng",42,Nguyễn Huệ,,Hải Châu,Đà Nẵng,16.053233,108.20737,"42 nguyễn huệ, hải châu, đà nẵng | 42 nguyễn huệ hải châu đà nẵng | nguyễn huệ hải châu","Có thể nhập ĐN, Da Nang"
ADDR040,"172 Lê Duẩn, Tân Bình, TP Hồ Chí Minh",172,Lê Duẩn,,Tân Bình,TP Hồ Chí Minh,10.808795,106.649258,"172 lê duẩn, tân bình, tp hồ chí minh | 172 lê duẩn tân bình tp hồ chí minh | lê duẩn tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR041,"206 Lý Thường Kiệt, Tân Bình, TP Hồ Chí Minh",206,Lý Thường Kiệt,,Tân Bình,TP Hồ Chí Minh,10.814957,106.663429,"206 lý thường kiệt, tân bình, tp hồ chí minh | 206 lý thường kiệt tân bình tp hồ chí minh | lý thường kiệt tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR042,"21 Điện Biên Phủ, Hoàn Kiếm, Hà Nội",21,Điện Biên Phủ,,Hoàn Kiếm,Hà Nội,21.046794,105.871692,"21 điện biên phủ, hoàn kiếm, hà nội | 21 điện biên phủ hoàn kiếm hà nội | điện biên phủ hoàn kiếm","Có thể nhập HN, Ha Noi"
ADDR043,"241 Láng Hạ, Sơn Trà, Đà Nẵng",241,Láng Hạ,,Sơn Trà,Đà Nẵng,16.104982,108.237234,"241 láng hạ, sơn trà, đà nẵng | 241 láng hạ sơn trà đà nẵng | láng hạ sơn trà","Có thể nhập ĐN, Da Nang"
ADDR044,"138 Trần Hưng Đạo, Đống Đa, Hà Nội",138,Trần Hưng Đạo,,Đống Đa,Hà Nội,21.021582,105.829528,"138 trần hưng đạo, đống đa, hà nội | 138 trần hưng đạo đống đa hà nội | trần hưng đạo đống đa","Có thể nhập HN, Ha Noi"
ADDR045,"161 Xuân Thủy, Quận 1, TP Hồ Chí Minh",161,Xuân Thủy,,Quận 1,TP Hồ Chí Minh,10.79336,106.694835,"161 xuân thủy, q 1, tp hồ chí minh | 161 xuân thủy q 1 tp hồ chí minh | xuân thủy quận 1","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR046,"109 Lý Thường Kiệt, Ngũ Hành Sơn, Đà Nẵng",109,Lý Thường Kiệt,,Ngũ Hành Sơn,Đà Nẵng,16.019171,108.283796,"109 lý thường kiệt, ngũ hành sơn, đà nẵng | 109 lý thường kiệt ngũ hành sơn đà nẵng | lý thường kiệt ngũ hành sơn","Có thể nhập ĐN, Da Nang"
ADDR047,"181 Nguyễn Chí Thanh, Quận 1, TP Hồ Chí Minh",181,Nguyễn Chí Thanh,,Quận 1,TP Hồ Chí Minh,10.782826,106.710212,"181 nguyễn chí thanh, q 1, tp hồ chí minh | 181 nguyễn chí thanh q 1 tp hồ chí minh | nguyễn chí thanh quận 1","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR048,"33 Lê Duẩn, Bình Thạnh, TP Hồ Chí Minh",33,Lê Duẩn,,Bình Thạnh,TP Hồ Chí Minh,10.829525,106.692849,"33 lê duẩn, bình thạnh, tp hồ chí minh | 33 lê duẩn bình thạnh tp hồ chí minh | lê duẩn bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR049,"284 Lê Duẩn, Bình Thạnh, TP Hồ Chí Minh",284,Lê Duẩn,,Bình Thạnh,TP Hồ Chí Minh,10.797088,106.704673,"284 lê duẩn, bình thạnh, tp hồ chí minh | 284 lê duẩn bình thạnh tp hồ chí minh | lê duẩn bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR050,"64 Nguyễn Trãi, Quận 7, TP Hồ Chí Minh",64,Nguyễn Trãi,,Quận 7,TP Hồ Chí Minh,10.732633,106.705908,"64 nguyễn trãi, q 7, tp hồ chí minh | 64 nguyễn trãi q 7 tp hồ chí minh | nguyễn trãi quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR051,"12 Bạch Đằng, Sơn Trà, Đà Nẵng",12,Bạch Đằng,,Sơn Trà,Đà Nẵng,16.092035,108.24844,"12 bạch đằng, sơn trà, đà nẵng | 12 bạch đằng sơn trà đà nẵng | bạch đằng sơn trà","Có thể nhập ĐN, Da Nang"
ADDR052,"93 Pasteur, Cầu Giấy, Hà Nội",93,Pasteur,,Cầu Giấy,Hà Nội,21.041143,105.774164,"93 pasteur, cầu giấy, hà nội | 93 pasteur cầu giấy hà nội | pasteur cầu giấy","Có thể nhập HN, Ha Noi"
ADDR053,"1 Hùng Vương, Quận 1, TP Hồ Chí Minh",1,Hùng Vương,,Quận 1,TP Hồ Chí Minh,10.762154,106.698466,"1 hùng vương, q 1, tp hồ chí minh | 1 hùng vương q 1 tp hồ chí minh | hùng vương quận 1","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR054,"201 Lý Thường Kiệt, Đống Đa, Hà Nội",201,Lý Thường Kiệt,,Đống Đa,Hà Nội,21.017716,105.840212,"201 lý thường kiệt, đống đa, hà nội | 201 lý thường kiệt đống đa hà nội | lý thường kiệt đống đa","Có thể nhập HN, Ha Noi"
ADDR055,"127 Pasteur, Quận 7, TP Hồ Chí Minh",127,Pasteur,,Quận 7,TP Hồ Chí Minh,10.729884,106.705137,"127 pasteur, q 7, tp hồ chí minh | 127 pasteur q 7 tp hồ chí minh | pasteur quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR056,"181 Trần Hưng Đạo, Cầu Giấy, Hà Nội",181,Trần Hưng Đạo,,Cầu Giấy,Hà Nội,21.045544,105.803944,"181 trần hưng đạo, cầu giấy, hà nội | 181 trần hưng đạo cầu giấy hà nội | trần hưng đạo cầu giấy","Có thể nhập HN, Ha Noi"
ADDR057,"117 Lý Thường Kiệt, Bình Thạnh, TP Hồ Chí Minh",117,Lý Thường Kiệt,,Bình Thạnh,TP Hồ Chí Minh,10.815703,106.69244,"117 lý thường kiệt, bình thạnh, tp hồ chí minh | 117 lý thường kiệt bình thạnh tp hồ chí minh | lý thường kiệt bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR058,"244 Nguyễn Trãi, Quận 7, TP Hồ Chí Minh",244,Nguyễn Trãi,,Quận 7,TP Hồ Chí Minh,10.735768,106.740872,"244 nguyễn trãi, q 7, tp hồ chí minh | 244 nguyễn trãi q 7 tp hồ chí minh | nguyễn trãi quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR059,"104 Lê Lợi, Cầu Giấy, Hà Nội",104,Lê Lợi,,Cầu Giấy,Hà Nội,21.029811,105.785296,"104 lê lợi, cầu giấy, hà nội | 104 lê lợi cầu giấy hà nội | lê lợi cầu giấy","Có thể nhập HN, Ha Noi"
ADDR060,"195 Nguyễn Chí Thanh, Tân Bình, TP Hồ Chí Minh",195,Nguyễn Chí Thanh,,Tân Bình,TP Hồ Chí Minh,10.818914,106.657121,"195 nguyễn chí thanh, tân bình, tp hồ chí minh | 195 nguyễn chí thanh tân bình tp hồ chí minh | nguyễn chí thanh tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR061,"36 Nam Kỳ Khởi Nghĩa, Hải Châu, Đà Nẵng",36,Nam Kỳ Khởi Nghĩa,,Hải Châu,Đà Nẵng,16.053673,108.202439,"36 nam kỳ khởi nghĩa, hải châu, đà nẵng | 36 nam kỳ khởi nghĩa hải châu đà nẵng | nam kỳ khởi nghĩa hải châu","Có thể nhập ĐN, Da Nang"
ADDR062,"38 Kim Mã, Đống Đa, Hà Nội",38,Kim Mã,,Đống Đa,Hà Nội,21.008129,105.817173,"38 kim mã, đống đa, hà nội | 38 kim mã đống đa hà nội | kim mã đống đa","Có thể nhập HN, Ha Noi"
ADDR063,"228 Láng Hạ, Quận 7, TP Hồ Chí Minh",228,Láng Hạ,,Quận 7,TP Hồ Chí Minh,10.739547,106.734327,"228 láng hạ, q 7, tp hồ chí minh | 228 láng hạ q 7 tp hồ chí minh | láng hạ quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR064,"190 Bạch Đằng, Hải Châu, Đà Nẵng",190,Bạch Đằng,,Hải Châu,Đà Nẵng,16.084851,108.239169,"190 bạch đằng, hải châu, đà nẵng | 190 bạch đằng hải châu đà nẵng | bạch đằng hải châu","Có thể nhập ĐN, Da Nang"
ADDR065,"139 Võ Nguyên Giáp, Tân Bình, TP Hồ Chí Minh",139,Võ Nguyên Giáp,,Tân Bình,TP Hồ Chí Minh,10.786373,106.670998,"139 võ nguyên giáp, tân bình, tp hồ chí minh | 139 võ nguyên giáp tân bình tp hồ chí minh | võ nguyên giáp tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR066,"49 Hùng Vương, Ba Đình, Hà Nội",49,Hùng Vương,,Ba Đình,Hà Nội,21.02219,105.839297,"49 hùng vương, ba đình, hà nội | 49 hùng vương ba đình hà nội | hùng vương ba đình","Có thể nhập HN, Ha Noi"
ADDR067,"71 Nam Kỳ Khởi Nghĩa, Quận 7, TP Hồ Chí Minh",71,Nam Kỳ Khởi Nghĩa,,Quận 7,TP Hồ Chí Minh,10.733506,106.715267,"71 nam kỳ khởi nghĩa, q 7, tp hồ chí minh | 71 nam kỳ khởi nghĩa q 7 tp hồ chí minh | nam kỳ khởi nghĩa quận 7","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR068,"62 Pasteur, Bình Thạnh, TP Hồ Chí Minh",62,Pasteur,,Bình Thạnh,TP Hồ Chí Minh,10.802773,106.689763,"62 pasteur, bình thạnh, tp hồ chí minh | 62 pasteur bình thạnh tp hồ chí minh | pasteur bình thạnh","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR069,"267 Trường Sơn, Sơn Trà, Đà Nẵng",267,Trường Sơn,,Sơn Trà,Đà Nẵng,16.116026,108.239938,"267 trường sơn, sơn trà, đà nẵng | 267 trường sơn sơn trà đà nẵng | trường sơn sơn trà","Có thể nhập ĐN, Da Nang"
ADDR070,"194 Trường Sơn, Cầu Giấy, Hà Nội",194,Trường Sơn,,Cầu Giấy,Hà Nội,21.052803,105.794918,"194 trường sơn, cầu giấy, hà nội | 194 trường sơn cầu giấy hà nội | trường sơn cầu giấy","Có thể nhập HN, Ha Noi"
ADDR071,"95 Cách Mạng Tháng Tám, Ba Đình, Hà Nội",95,Cách Mạng Tháng Tám,,Ba Đình,Hà Nội,21.040145,105.822909,"95 cách mạng tháng tám, ba đình, hà nội | 95 cách mạng tháng tám ba đình hà nội | cách mạng tháng tám ba đình","Có thể nhập HN, Ha Noi"
ADDR072,"251 Trường Sơn, Tân Bình, TP Hồ Chí Minh",251,Trường Sơn,,Tân Bình,TP Hồ Chí Minh,10.818505,106.6421,"251 trường sơn, tân bình, tp hồ chí minh | 251 trường sơn tân bình tp hồ chí minh | trường sơn tân bình","Tên hành chính hiện tại; có thể nhập TP HCM, HCM, Sài Gòn"
ADDR073,"170 Lý Thường Kiệt, Hoàn Kiếm, Hà Nội",170,Lý Thường Kiệt,,Hoàn Kiếm,Hà Nội,21.042933,105.837482,"170 lý thường kiệt, hoàn kiếm, hà nội | 170 lý thường kiệt hoàn kiếm hà nội | lý thường kiệt hoàn kiếm","Có thể nhập HN, Ha Noi"
